case_id,input_kind,mutation,command_name,command,exit_code,stdout_nonempty,stderr_nonempty,output_file_created,output_file_nonempty,accepted,verdict,stdout_has_object_marker,output_file_has_object_marker,stderr_excerpt
pubkey_der_truncated_integer_pkey_pubin_pubout,pubkey_der,truncated_integer,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_truncated_integer.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_truncated_integer.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_truncated_bit_string_pkey_pubin_noout,pubkey_der,truncated_bit_string,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_truncated_bit_string.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_truncated_bit_string_pkey_pubin_text_noout,pubkey_der,truncated_bit_string,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_truncated_bit_string.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_truncated_bit_string_pkey_pubin_pubout,pubkey_der,truncated_bit_string,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_truncated_bit_string.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_truncated_bit_string.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_bad_asn1_tag_pkey_pubin_noout,pubkey_der,bad_asn1_tag,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_bad_asn1_tag.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_bad_asn1_tag_pkey_pubin_text_noout,pubkey_der,bad_asn1_tag,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_bad_asn1_tag.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_bad_asn1_tag_pkey_pubin_pubout,pubkey_der,bad_asn1_tag,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_bad_asn1_tag.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_bad_asn1_tag.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
pubkey_der_valid_null_then_malformed_seq_pkey_pubin_noout,pubkey_der,valid_null_then_malformed_seq,pkey_pubin_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_valid_null_then_malformed_seq.der -noout,0,False,False,False,False,True,app_command_accepts_malformed_tail,False,False,
pubkey_der_valid_null_then_malformed_seq_pkey_pubin_text_noout,pubkey_der,valid_null_then_malformed_seq,pkey_pubin_text_noout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_valid_null_then_malformed_seq.der -text -noout,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_valid_null_then_malformed_seq_pkey_pubin_pubout,pubkey_der,valid_null_then_malformed_seq,pkey_pubin_pubout,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -pubin -inform DER -in artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_valid_null_then_malformed_seq.der -pubout -out artifacts/triage/ossl_store_full_consumption/results/app_level_security_commands/outputs/pubkey_pubout_valid_null_then_malformed_seq.pem,0,False,False,True,True,True,app_command_accepts_malformed_tail,False,True,
